Applicant Name,Case Interview Score,Score from 1 to 5 (1 is lowest)
11A,4.58,4.0
11A,4.58,1.0
11A,4.58,3.0
11A,4.58,2.0
11A,4.58,3.0
11A,4.58,3.0
11A,4.58,3.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,3.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,3.0
11A,4.58,3.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,3.0
11A,4.58,5.0
11A,4.58,3.0
11A,4.58,3.0
11A,4.58,4.0
11A,4.58,3.0
11A,4.58,3.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,4.0
11A,4.58,2.0
11A,4.58,4.0
11A,4.58,5.0
11A,4.58,4.0
12A,4.17,2.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,2.0
12A,4.17,2.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,2.0
12A,4.17,1.0
12A,4.17,1.0
12A,4.17,3.0
12A,4.17,2.0
12A,4.17,3.0
12A,4.17,2.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,2.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,4.0
12A,4.17,2.0
12A,4.17,4.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,3.0
12A,4.17,2.0
13A,4.27,1.0
13A,4.27,2.0
13A,4.27,4.0
13A,4.27,2.0
13A,4.27,4.0
13A,4.27,2.0
13A,4.27,5.0
13A,4.27,4.0
13A,4.27,4.0
13A,4.27,3.0
13A,4.27,3.0
13A,4.27,3.0
13A,4.27,1.0
13A,4.27,3.0
13A,4.27,2.0
13A,4.27,3.0
13A,4.27,3.0
13A,4.27,4.0
13A,4.27,4.0
13A,4.27,4.0
13A,4.27,3.0
13A,4.27,3.0
13A,4.27,3.0
13A,4.27,4.0
13A,4.27,2.0
13A,4.27,4.0
13A,4.27,4.0
13A,4.27,3.0
13A,4.27,4.0
13A,4.27,3.0
13A,4.27,4.0
13A,4.27,4.0
13A,4.27,2.0
14A,3.23,2.0
14A,3.23,4.0
14A,3.23,4.0
14A,3.23,2.0
14A,3.23,4.0
14A,3.23,4.0
14A,3.23,2.0
14A,3.23,4.0
14A,3.23,3.0
14A,3.23,3.0
14A,3.23,2.0
14A,3.23,4.0
14A,3.23,4.0
14A,3.23,3.0
14A,3.23,4.0
14A,3.23,3.0
14A,3.23,5.0
14A,3.23,4.0
14A,3.23,2.0
14A,3.23,3.0
14A,3.23,2.0
14A,3.23,3.0
14A,3.23,4.0
14A,3.23,3.0
14A,3.23,4.0
14A,3.23,4.0
14A,3.23,2.0
14A,3.23,3.0
14A,3.23,3.0
14A,3.23,3.0
14A,3.23,5.0
14A,3.23,3.0
15A,4.17,5.0
15A,4.17,3.0
15A,4.17,4.0
15A,4.17,4.0
15A,4.17,2.0
15A,4.17,4.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,4.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,4.0
15A,4.17,5.0
15A,4.17,4.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,4.0
15A,4.17,5.0
15A,4.17,4.0
15A,4.17,4.0
15A,4.17,4.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,5.0
15A,4.17,3.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,4.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
16A,4.9,5.0
17A,4.48,3.0
17A,4.48,5.0
17A,4.48,2.0
17A,4.48,5.0
17A,4.48,5.0
17A,4.48,5.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,5.0
17A,4.48,2.0
17A,4.48,5.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,3.0
17A,4.48,5.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,3.0
17A,4.48,3.0
17A,4.48,4.0
17A,4.48,5.0
17A,4.48,5.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,3.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,4.0
17A,4.48,4.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,4.0
18A,4.58,4.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,4.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,4.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,4.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,4.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,5.0
18A,4.58,4.0
18A,4.58,5.0
19A,3.54,2.0
19A,3.54,3.0
19A,3.54,4.0
19A,3.54,3.0
19A,3.54,3.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,5.0
19A,3.54,3.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,3.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,3.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,2.0
19A,3.54,3.0
19A,3.54,3.0
19A,3.54,3.0
19A,3.54,2.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,5.0
19A,3.54,3.0
19A,3.54,5.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,5.0
19A,3.54,5.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,4.0
19A,3.54,3.0
19A,3.54,3.0
20A,4.79,5.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,2.0
20A,4.79,3.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,4.0
20A,4.79,3.0
20A,4.79,5.0
20A,4.79,4.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,4.0
20A,4.79,4.0
20A,4.79,4.0
20A,4.79,4.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,3.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,4.0
20A,4.79,2.0
20A,4.79,4.0
20A,4.79,3.0
20A,4.79,4.0
20A,4.79,5.0
20A,4.79,5.0
20A,4.79,5.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,2.0
33A,3.96,3.0
33A,3.96,3.0
33A,3.96,2.0
33A,3.96,3.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,4.0
33A,3.96,4.0
33A,3.96,5.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,4.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,5.0
33A,3.96,3.0
33A,3.96,3.0
33A,3.96,4.0
33A,3.96,4.0
33A,3.96,4.0
31A,4.9,5.0
31A,4.9,5.0
31A,4.9,5.0
31A,4.9,4.0
31A,4.9,4.0
31A,4.9,3.0
31A,4.9,4.0
31A,4.9,3.0
31A,4.9,5.0
31A,4.9,4.0
31A,4.9,3.0
31A,4.9,3.0
31A,4.9,3.0
31A,4.9,4.0
31A,4.9,4.0
31A,4.9,3.0
31A,4.9,4.0
31A,4.9,5.0
31A,4.9,5.0
31A,4.9,3.0
31A,4.9,5.0
31A,4.9,4.0
31A,4.9,3.0
31A,4.9,5.0
31A,4.9,5.0
31A,4.9,4.0
31A,4.9,3.0
1A,3.02,2.0
1A,3.02,1.0
1A,3.02,2.0
1A,3.02,2.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,2.0
1A,3.02,2.0
1A,3.02,1.0
1A,3.02,2.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,3.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,2.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,2.0
1A,3.02,1.0
1A,3.02,1.0
1A,3.02,4.0
27A,4.69,3.0
27A,4.69,3.0
27A,4.69,5.0
27A,4.69,4.0
27A,4.69,2.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,2.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,3.0
27A,4.69,3.0
27A,4.69,2.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,5.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,4.0
27A,4.69,3.0
27A,4.69,5.0
27A,4.69,5.0
27A,4.69,5.0
27A,4.69,4.0
21A,4.0,2.0
21A,4.0,4.0
21A,4.0,4.0
21A,4.0,3.0
21A,4.0,3.0
21A,4.0,5.0
21A,4.0,1.0
21A,4.0,3.0
21A,4.0,3.0
21A,4.0,3.0
21A,4.0,4.0
21A,4.0,4.0
21A,4.0,4.0
21A,4.0,3.0
21A,4.0,4.0
21A,4.0,3.0
21A,4.0,2.0
21A,4.0,3.0
21A,4.0,4.0
21A,4.0,4.0
21A,4.0,5.0
21A,4.0,4.0
21A,4.0,3.0
21A,4.0,2.0
21A,4.0,4.0
21A,4.0,5.0
21A,4.0,2.0
21A,4.0,5.0
21A,4.0,4.0
21A,4.0,5.0
21A,4.0,4.0
21A,4.0,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
30A,4.79,4.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,5.0
30A,4.79,4.0
29A,4.38,3.0
29A,4.38,2.0
29A,4.38,3.0
29A,4.38,5.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,3.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,3.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,4.0
29A,4.38,5.0
29A,4.38,4.0
29A,4.38,4.0
25A,4.79,2.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,2.0
25A,4.79,3.0
25A,4.79,5.0
25A,4.79,4.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,4.0
25A,4.79,4.0
25A,4.79,4.0
25A,4.79,3.0
25A,4.79,3.0
25A,4.79,2.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,2.0
26A,3.54,3.0
26A,3.54,2.0
26A,3.54,2.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,4.0
26A,3.54,3.0
26A,3.54,3.0
26A,3.54,2.0
22A,3.33,3.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,3.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,5.0
28A,3.54,3.0
28A,3.54,3.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,5.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,3.0
28A,3.54,4.0
28A,3.54,4.0
28A,3.54,3.0
28A,3.54,4.0
28A,3.54,5.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,1.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,1.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,4.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,4.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,1.0
22A,3.33,4.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,1.0
22A,3.33,3.0
22A,3.33,5.0
22A,3.33,4.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,5.0
22A,3.33,3.0
22A,3.33,4.0
22A,3.33,2.0
22A,3.33,2.0
22A,3.33,4.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,2.0
22A,3.33,2.0
22A,3.33,3.0
22A,3.33,3.0
22A,3.33,3.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,3.0
23A,3.96,2.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,3.0
23A,3.96,3.0
23A,3.96,2.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,3.0
23A,3.96,3.0
23A,3.96,4.0
23A,3.96,2.0
23A,3.96,3.0
23A,3.96,1.0
23A,3.96,2.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,2.0
23A,3.96,1.0
23A,3.96,2.0
23A,3.96,3.0
23A,3.96,2.0
23A,3.96,4.0
23A,3.96,2.0
23A,3.96,3.0
23A,3.96,3.0
24A,4.17,5.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,3.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,3.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,5.0
24A,4.17,4.0
24A,4.17,5.0
32A,4.38,4.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,2.0
32A,4.38,4.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,4.0
32A,4.38,5.0
32A,4.38,3.0
32A,4.38,2.0
32A,4.38,4.0
32A,4.38,2.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,3.0
32A,4.38,4.0
32A,4.38,5.0
32A,4.38,4.0
4A,2.5,1.0
4A,2.5,3.0
4A,2.5,2.0
4A,2.5,2.0
4A,2.5,4.0
4A,2.5,2.0
4A,2.5,2.0
4A,2.5,2.0
4A,2.5,5.0
4A,2.5,4.0
4A,2.5,2.0
4A,2.5,4.0
4A,2.5,4.0
4A,2.5,2.0
4A,2.5,5.0
4A,2.5,5.0
4A,2.5,4.0
4A,2.5,3.0
4A,2.5,2.0
4A,2.5,3.0
4A,2.5,3.0
4A,2.5,1.0
4A,2.5,4.0
4A,2.5,1.0
4A,2.5,5.0
2A,3.75,3.5
3A,3.54,3.47
5A,4.27,3.335
6A,4.9,3.225
7A,3.13,3.19
8A,2.4,2.85
9A,3.23,2.615
10A,2.81,2.38
